store_name,store_address,store_contact,brand,review_1,review_2,review_3,review_4,review_5,businesshours,category,rating,url,GMap_url,price_range,lat,lng,店名from Google,住所from Google,district,brandlogo_id
アキバホルモン　のるかそるか,東京都千代田区神田佐久間町　３丁目３４番地３号,08083941864,黒ラベル樽生,"口コミを見てから行った方が良いお店です。
口コミの低評価にあることを実体験して来ました。
味に関しては好き嫌いがあるでしょうが、焼き肉ホルモンふたごのほうが断然美味しいです。
比較してしまうくらいホルモンが臭いです。
ホルモン苦手な方はさらに苦手になりそうです。
処理が良くないのか差入もすくないので、噛みきれないし食べにくいと思いました。
さらに喫煙いる方が隣にいて、分煙してないとか時代遅れを感じました。
厨房の人のスタッフに対する暴言、スタッフの方の対応の遅さ、料理の提供の遅さ、
客には何に問題があるのかなんてわかりませんが、パワハラかと感じさせるようなお店には二度といきたくないです。","秋葉原のホルモンが美味しい😋お店として訪れました。
ビールからスタートして、タンと牛ホルモン三点盛りを注文！
この値段でこの量はコスパ良いです。
コリコリ食感もたまらなくおいしい！
お酒の種類も多く、今日は頼まなかったですが120分飲み放題も当日注文でいけるようです。","まだ新しくて綺麗な店内です。
お肉はコースにしましたが、サラダやキムチからホルモン、お肉とバランスよく、どれも美味しかったです。
店員さんはうるさすぎず感じがよくて、お箸落としちゃった時もすぐに気付いて持ってきてくれて素敵でした！","まーまーな値段だから（上カルビ1800円上ハラミ1200円）美味しいの出してくれるんだろーと信じて行ってみました！が…少ないし美味しくない
ツマミ系の添えられてる野菜はパサパサカスカス
駅からもソコソコ歩くし高くて美味しくなくて、預けた上衣もどれだかお店の人が把握してなくて好きなの着て帰れる感じで、ちょっと無理だなともう二度と行かないですね…
いい勉強代になりました…","12球団の応援歌が流れる焼肉屋✨
肉はどれも美味しかったけど、厚切りタンとレバーが特に美味しかった👍","Monday: 17時00分～23時30分
Tuesday: 17時00分～23時30分
Wednesday: 17時00分～23時30分
Thursday: 17時00分～23時30分
Friday: 17時00分～23時30分
Saturday: 17時00分～23時00分
Sunday: 17時00分～23時00分","restaurant, food, point_of_interest, establishment",3.8,https://nikuyaki.owst.jp/,https://maps.google.com/?cid=12490602929603669937,情報なし,35.698674,139.7777088,アキバホルモン のるかそるか,日本、〒101-0025 東京都千代田区神田佐久間町３丁目34−３ Nステージ秋葉原 1F,千代田区,1
代表鳥締役　かいかぶり,東京都千代田区神田佐久間町　３丁目３５－５　１７８ビル１Ｆ,0358392920,黒ラベル樽生,"素敵なお食事ありがとうございました。
店内はガラス張りで明るくていい感じの店内。
店員さん達も御若くて楽しそうに働いてらっしゃいました。
焼き鳥はかなりじっくり焼いてくださってましたが、炭じゃないのかな？焼き場をチラッと覗いたら大きめの竹炭？のようにみてないこともないが、バーナーではありませんでした。
一体何なんだろう？ご存知の方いらっしゃったら教えてください！","なぜか開店時間が11:55謎です。
数量限定の焼き鳥丼650円は
安い！うまい！量がある！
更に生卵がサービスで付いてくる。
ランチでも喫煙OKです。","ランチタイムに訪問
焼き鳥丼やチキンソテーなど鳥系ランチメニューが豊富です。
更に生卵が一つサービスととても嬉しい♪
お肉も柔らかく美味しかったです。
また、近くに寄ったら違うメニューも食べてみたいです
(ﾟдﾟ)ｳﾏｰ","日曜日に予約して夜伺いました。
客席も多くはないので、満席で土日は予約した方が良いとおもれます。

メインの焼き鳥めっちゃ美味かったです！
お酒無限に飲めます！
他だと馬刺し、パイ天、美味しかったです。

欲を言えば、日本酒のバリエーションもっとあれば個人的にうれしかったです。","秋葉原駅昭和通り口、昭和通りの高架を超えて和泉公園へ向かう途中にある名前の通り鶏の美味しいお店です。
遠方から来た鶏好きの知人と話をするのにちょうどいい居酒屋と思い訪問。

串から一品料理、鶏と言えばから揚げや鳥南蛮に水炊きのような鶏白湯スープを使った揚げ出し豆腐、その他居酒屋メニューも豊富で飽きの来ない飲みができます。
黒ホッピーのセットが置いてあるのも自分にとってはプラス！店内喫煙可能なのもプラス！これはありがたいですね。
店内はそんなに騒がしくもなく、居酒屋の灯りといった感じで暗くもないので過ごしやすいです。

そして美味しい鶏の料理を堪能した後には美味しい〆が食べられます。
〆の料理も鶏尽くしで、鶏白湯のラーメンや鶏雑炊、TKGにこの日はチキンライスもやっていました。
各々思い思いの〆を頼み、食った食ったと大満足での退店でした。

店内はカウンター席もありますがテーブル席も多く、一人で飲むのも多人数で飲むのも楽しめそうです。
ただ、料理がいいので軽く飲むというよりガッツリと飲み食いしてしまうお店だと思います。

-----------
2回目の訪問、前回気になっていた〆の鶏ラーメンが食べたくなり美味しい料理を堪能した後に注文。
注文前に食事中頼んでいた鶏スープをもう少しこってりさせた感じで、散らされてるわけぎとあおさ、チャーシューが入ったシンプルだけどとても美味しいラーメンです。塩味が聞いていて〆にぴったり、あおさの香りも素晴らしいですね。専門店ほど複雑じゃないけど、でも目的にあう美味しい塩鶏ラーメンも最高でした！","Monday: 11時55分～13時00分, 17時00分～23時00分
Tuesday: 11時55分～13時30分, 17時00分～23時00分
Wednesday: 11時55分～13時30分, 17時00分～23時00分
Thursday: 11時55分～13時30分, 17時00分～23時00分
Friday: 11時55分～13時30分, 17時00分～23時00分
Saturday: 16時00分～23時00分
Sunday: 16時00分～23時00分","restaurant, food, point_of_interest, establishment",3.7,https://tabelog.com/tokyo/A1310/A131001/13226022/,https://maps.google.com/?cid=5476043721750650253,2,35.698636,139.777507,代表鳥締役 かいかぶり 秋葉原店,日本、〒101-0025 東京都千代田区神田佐久間町３丁目35−５ 178ビル 1F,千代田区,1
秋しの,東京都千代田区神田佐久間町　３丁目３７－４,0338618469,黒ラベル樽生,"和食が 食べたくなって 秋葉原を ぶらぶらフグ料理の看板発見、お店は 地下の様
初見ながら 訪問する。
ランチは 日替り、焼き魚、海苔弁当など
日替りを 注文、刺身(こはだ、ぶり、甘エビ)、ぶり大根、小鉢、ご飯、味噌汁
こはだ、ぶり大根は 大好物 特に 味沁みの大根は 美味、大皿で 食べたかった。
秋葉原で この内容で 900円 あれば 大満足
次は 夜に  行こうかな","ここへ行くといつも日替わりか海苔弁当を注文するが海苔弁当はイワシのフライが入ってて美味い。
しかし喫煙可の店なのでこのご時世好き嫌いの分かれる店だと思う(`A`)","平日の午1時過ぎにランチで利用しました。日替り海苔弁当を注文しました。イワシフライがメインです。
800円でちょうど良い感じです。刺身定食なども前に食べたことがありますが、刺身は美味しかったです。
喫煙可ですが、席が空いていたので、煙草の煙は気になりませんでした。","居心地の良い昔ながらの小料理屋っぽい居酒屋です。
値段もお手頃でタバコも吸えていい場所です。","昨年友達に紹介していただきました。
月3回程度行っています。
塩分が少なめなので、とてもおいしいです。","Monday: 11時30分～14時00分, 17時00分～22時00分
Tuesday: 11時30分～14時00分, 17時00分～22時00分
Wednesday: 11時30分～14時00分, 17時00分～22時00分
Thursday: 11時30分～14時00分, 17時00分～22時00分
Friday: 11時30分～14時00分, 17時00分～22時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",3.9,,https://maps.google.com/?cid=3507975271409915855,情報なし,35.6984301,139.7772937,秋しの,日本、〒101-0025 東京都千代田区神田佐久間町３丁目３７,千代田区,1
鍛冶屋文蔵　秋葉原店,東京都千代田区神田佐久間町　３丁目３７－９,0338632110,ヱビス樽生,"秋葉原駅から少し離れたガード下にあります。カウンターがあるのでお一人様でもフラっと入れる感じです。早い時間の入店だったため、頼んだものはスムーズに出てきました^_^
店員さんに聞いたオススメの牛すじ煮込みは、ほろほろに煮込まれていてメチャ美味かったです。
旬の秋刀魚も皮はパリッとしてて中はジューシー^_^
ただ、残念だったのが焼き鳥。レバーがガチガチでちょっとガス臭い。メニューによって当たり外れがあるのかな⁇
最後にサッパリしたものが食べたくて頼んだキャベツの味噌つけは思ったよりボリュームあってビックリ^_^味噌も唐辛子味噌で結構辛めです。辛いの苦手な人は避けた方がいいかも。ハイボールによく合ってグイグイいけました^_^","築地で愛用していた文蔵の秋葉原店に行ってみた(2023.3月)
いつものトントロ串とツクネは馴染みの味
季節のメニューにあった、厚揚げのしらすネギソースがけが美味かった
ここはカウンタで一人飲みも落ち着ける",文蔵焼きがたまに無性に食べたくなるよね⁈このピリッとした辛さが癖になるんよな。美味しいかった。,"広い店内❗満席になります❗
人手不足を感じました。
注文は間違え、隣に届く、中々出て来ない。","先日久々に訪問させていただきましたが、接客が本当に最低でした。
最初に注文したフードが40分以上経っても来なくてオールバックの若い男性店員の方に「最初の料理の注文がまだ来てないんですが」と伺ったらすごい嫌そうな顔で
「あっそうなんすか、へぇ〜」と嫌味満載の返答を頂きました。
やっと届いた料理も昔訪問した時と比べて明らかに質が落ちていました。
ちくわの磯辺揚げなんてもはや揚げすぎて以前とは全く別商品かと思いました。
もう2度と来店することはないかと思います。
以前は接客もよく食事も美味しくてとても素敵な居酒屋さんだったのに残念です。","Monday: 16時00分～23時00分
Tuesday: 16時00分～23時00分
Wednesday: 16時00分～23時00分
Thursday: 16時00分～23時00分
Friday: 16時00分～23時00分
Saturday: 16時00分～22時30分
Sunday: 16時00分～22時30分","restaurant, food, point_of_interest, establishment",3.6,http://www.danke-bros.co.jp/store/bunzo/,https://maps.google.com/?cid=15194488241687782362,1,35.6979421,139.7777713,鍛冶屋 文蔵 秋葉原店,日本、〒101-0025 東京都千代田区神田佐久間町３丁目37ｰ9,千代田区,2
土風炉　秋葉原店１階,東京都千代田区神田佐久間町　３丁目－３７佐久間町高架下,0338650880,黒ラベル樽生,"寿司屋というより寿司居酒屋。酒のメニューが豊富。全席個室なので1人でも個室が使える。
海鮮丼も美味しい。煮付けの牡蠣も美味しい。値段も相応。秋葉原は外人も多く観光客向けな粗悪な寿司屋もあるがここは日本人でも大丈夫。","狭くて賑やかな店が多い秋葉原の中で、個室でゆっくり出来るので2回目行きました。
どちらも夕方の早い時間帯。
男性店員さんはどちらも感じが良く、気になる部分はありませんでした。
お会計の時にいらした女性店員さんはサバサバであまり気の利かない感じでした。
お酒と軽いつまみとうな重。
うな重はふわふわで可もなく不可もなく、若干割高でしたが個室提供の面と合わせ平均点にしております。
味を期待するのであれば、秋葉原ではない方が良いかもしれません。
昭和通り付近の中では落ち着いた方のお店です。","入口の蕎麦打ち職人さんに
惹かれて伺いました
個室でゆっくり出来ます
手打ちなのに板蕎麦はお手ごろ価格です
ランチもいろいろ、寿司もいろいろ　楽しめます",日曜日にちょっとリッチな海鮮丼ランチ。エビがぷりぷりで大きく、ウニやネギトロも多めで嬉し美味しい。シャリは硬め。個室で禁煙で立地も良く使い勝手良し◎ 会話は筒抜けだけど(笑),料理はどれも美味しい。ゴーヤチャンプルもさほどニガくなくて万人向け。焼鳥や海老天ロール、卵焼き、枝豆など定番も良かった。難があるとすればトイレの場所だけ。階段を降りて別の階段を昇って行くので酔った人にはキツいかも。,"Monday: 11時30分～14時30分, 17時00分～23時00分
Tuesday: 11時30分～14時30分, 17時00分～23時00分
Wednesday: 11時30分～14時30分, 17時00分～23時00分
Thursday: 11時30分～14時30分, 17時00分～23時00分
Friday: 11時30分～14時30分, 17時00分～23時30分
Saturday: 12時00分～22時00分
Sunday: 12時00分～22時00分","meal_takeaway, restaurant, food, point_of_interest, establishment",3.5,https://tofuro-shop.com/akihabara/,https://maps.google.com/?cid=15571836476198668793,2,35.6980498,139.7771362,すし土風炉 秋葉原店,日本、〒101-0025 東京都千代田区神田佐久間町３丁目３７,千代田区,1
すし屋銀蔵　秋葉原店,東京都千代田区神田佐久間町１丁目８－６,0352985161,ヱビス樽生,"年中無休のお寿司屋さんの様です。
正月早々に利用しました。店内は混んでいましたが、店員さんがキビキビと接客しており、待ち時間を感じませんでした。リーズナブルな価格でお寿司を楽しめました。","リーズナブルで美味しかったです！
お寿司をいただきましたが、ネタも新鮮でした。
店舗は駅から近く人気店で常に人がいっぱいでした","天ぷら　刺身　焼物も有り
心もカラダも温まりました!
オーダしませんでしたが　唐揚げも有り　何でも食べたい私にピッタシ♥　お寿司も美味しかった　スタッフさんも感じ↗↗","秋葉原では珍しく、落ち着いて食事ができる寿司屋です。価格もリーズナブルです。つまみメニューも豊富で2次会にもおすすめで
す。",私はランチでにぎり寿司をいつも食べます。昔からある店で店内はそれなりに広いです。入り口すぐにはカウンターがありますが､カウンターは長いのでかなりの人が座れます。海外から来た客層も多い店だなと思いますが、なんとなく雰囲気が好まれてるのかな。店員の対応も良いと感じます。ここはチェーン店なので良心的な価格設定です。とりあえず、気軽に寿司が食べたい人向けですが、きちんと目の前で握ってくれます。茶碗蒸しが付くのは良心的です。,"Monday: 11時30分～23時00分
Tuesday: 11時30分～23時00分
Wednesday: 11時30分～23時00分
Thursday: 11時30分～23時00分
Friday: 11時30分～23時00分
Saturday: 11時30分～22時30分
Sunday: 11時30分～22時00分","restaurant, food, point_of_interest, establishment",4.1,https://r.gnavi.co.jp/g135733/,https://maps.google.com/?cid=14345699098722421851,2,35.6973834,139.7733757,銀蔵 秋葉原本館,日本、〒101-0025 東京都千代田区神田佐久間町１丁目８−６,千代田区,2
秋葉原　しゃかりき,東京都千代田区神田佐久間町２ー１０　飯島ビル１階表側,0358392770,黒ラベル樽生,"秋葉原駅から徒歩数分、総武線のガード沿いにある居酒屋さん、外には「喫茶スペース車力」とあります。
47都道府県の銘酒を呑み比べできるのが売りとのことで、確かに北海道から沖縄まで、47種類の日本酒が取りそろえられています！その他、日替わりのようですが県ごと5種類の日本酒の見比べセットもあり、国産ウィスキーの品揃えも凄いです！
おでんやエイヒレ、牡蠣フライといったつまみも美味しい仕上がりで、酒が進みます。
また訪問したいですね！ごちそうさまでした(^_^)/","秋葉原で47都道府県の日本酒が飲めるお店。
飲み放題付き5000円は超お得。

おでんの出汁がちょっとしょっぱいかな。
全体的に味は濃いめ。

BGMが昭和演歌のオンパレードでなかなか楽しかった。","最近オープンしたばかりの日本酒のお店。
47都道府県の日本酒が揃えてあり、月替わりのご当地地酒の飲み比べや、日本酒に合う先付けやおつまみ、おでんまであって日本酒好きの私にとってはいい意味で”ちょうどいい”お店でした。
内装も和風でお洒落な落ち着いた雰囲気、なのに外の看板には大きく喫茶・カフェの文字（以前カフェだったらしいです）があるのも面白くていいですね。

またお邪魔します。","おでんは出汁が効いてて美味しい
デフォで突き出し￥600がついちゃう。
日本酒も色々種類があって良い。※三芳菊もあった！
でも、立ち飲みじゃないのでお一人様だとちょっと居心地悪いかも。
日本酒好きの複数人向けのお店。","最近オープンした日本酒のお店。新しいお店で店内もきれいです。
最初に出される先付け（この日は穴子のにこごり、海老、ごぼうの漬物、卵焼きでした）だけでも2杯くらい飲めちゃいそう。
お酒は4つの都道府県から選べる飲み比べセット（各５種類ずつ）から、福島県をいただきました。
おすすめのおでんの盛り合わせは、出汁がしっかり効いていて、好きな味でした。追加で焼き茄子のおでんも注文。初めて食べましたが、出汁を吸って美味しい！
お酒もすすみ、追加の日本酒（47都道府県から1種類ずつ、こちらはシャンパングラスで出されます）で南部美人、陸奥八仙を注文。
47都道府県制覇を目指してまた来たいと思います！","Monday: 17時00分～23時30分
Tuesday: 17時00分～23時30分
Wednesday: 17時00分～23時30分
Thursday: 17時00分～23時30分
Friday: 17時00分～23時30分
Saturday: 16時00分～23時00分
Sunday: 16時00分～23時00分","restaurant, food, point_of_interest, establishment",4.4,https://tabelog.com/tokyo/A1310/A131001/13289656/,https://maps.google.com/?cid=1153567199121710495,情報なし,35.6979468,139.776041,秋葉原 しゃかりき 居酒屋,日本、〒101-0025 東京都千代田区神田佐久間町２丁目１０ 飯島ビル 1F,千代田区,1
すし屋銀蔵　秋葉原店別館,東京都千代田区神田佐久間町３丁目３７－９,0338618317,ヱビス樽生,"廻らないコスバ良き寿司屋さん。こちらは秋葉原昭和通り口から2,3分徒歩の別館。今回ランチで伺いました。握りは1000円ほどから何種かあります。今の時期(2023年10月末)、東京都の海の幸キャンペーンがありこちらはPayPay対象で30%還元とさらにお得。元々板さんの握る新鮮寿司がリーズナブルですが、更に！という。夜もお好みで寿司をつまみながら飲むにはとても良いです。周囲は激安混み混み居酒屋が多いので喧騒をさけるにはもってこいです。",ランチでいきました。値段に対してのボリュームも充分です。あまり混んで無いので穴場ランチだと思いますね。唐揚げ、うどんの定食はボリューム満点でした。,"お手頃な値段でお寿司が楽しめます。
色々食べて飲んでで4000円位となりましたが、ほどほどにしていれば3000円くらいで済むのではないかと思います。

季節の握りがとても美味しく、旬の味が楽しめるのでオススメです。
鯖寿司も美味しいです。

前回訪問時はカウンターを利用したのですが、感染防止の仕切り(移動もできる)があり、他のお客さんとも距離を保ちつつお寿司を楽しめました。","明朗会計の寿司屋でした。
味も中々良かったです。
あとは室内に「喫煙室」があれば良かった...","個室でゆっくとお寿司や魚を中心とした料理が楽しめます。
料理のレベルもどれも美味しいです。

チェーン店の居酒屋と同じレベルで好き放題、飲んで食ってを満喫した結果、なかなかのお会計になりました。笑","Monday: 11時30分～14時30分, 17時00分～22時30分
Tuesday: 11時30分～14時30分, 17時00分～22時30分
Wednesday: 11時30分～14時30分, 17時00分～22時30分
Thursday: 11時30分～14時30分, 17時00分～22時30分
Friday: 11時30分～14時30分, 17時00分～23時00分
Saturday: 11時30分～14時30分, 17時00分～22時00分
Sunday: 11時30分～14時30分, 17時00分～22時00分","restaurant, point_of_interest, food, establishment",3.7,http://www.danke-bros.co.jp/store/ginzo/,https://maps.google.com/?cid=12760774130976293755,2,35.6978752,139.7779567,すし屋 銀蔵 秋葉原 別館,日本、〒101-0025 東京都千代田区神田佐久間町３丁目37−９,千代田区,2
みずむら,東京都千代田区神田司町　２丁目１０,0332563775,ヱビス樽生,ランチタイム訪問。カキフライ定食をオーダー。味噌汁、ご飯の他にお新香と小皿料理が２つ付いて850円はお値打ち過ぎます。揚げたてのカキフライを落ちついた雰囲気の中で美味しくいただきました。席数が少ないので12時前には満席になってしまいます。次はオススメの鮭の塩焼きを食べたいと思います。ごちそうさまでした。,"カキフライ定食をいただきました！
サックサクの揚げたてフライに、もりもりのキャベツが嬉しいです。
付け合わせのパスタってボソボソ乾燥したイメージなのですが、そんなことなくこちらも美味しかったです。
ご飯は半分にしてもらったのですが、それでもたっぷり！笑
お値段は近隣のランチに比べるとお安いのに、とっても充実したご飯です。
女性お二人で切り盛りされていました。大変なご時世ですが、がんばって続けていただけるようまた伺います…！
ご馳走様でした！","Visited this place for lunch as it was near my hotel. Simple Japanese lunch, freshly cooked. I ordered the furai mix (fried horse mackerel, fried shrimp & fried white fish). Portion was big with plenty of side dishes and it cost less than ¥1,000. Seems popular among office workers, many ordered the salmon set. Shop is run only by obasan & obaasan. お家ご飯またいな感じ、味優しくて美味しかったです。",ランチで訪問。ミックスフライ800円をいただきました。ご飯は普通盛りで良かった？と聞かれましたが、どう見てもてんこ盛りでした。ありがとうございます。ご飯、おみそしる、おかず、小鉢、お茶に至るまで全部美味しい。この日は、ちょうど12時ぐらいに入って、次の人で満席。店内は明るくはないが、落ち着いた気持ちよい明るさです。,"家庭的な味が楽しめます。
アジフライ定食を注文。
現在は昼のみ営業！
お母さんと娘さんでお店を支えて営業している。美味しい家庭料理が食べられる淡路町では希少なお店！","Monday: 11時30分～13時00分
Tuesday: 11時30分～13時00分
Wednesday: 定休日
Thursday: 11時30分～13時00分
Friday: 11時30分～13時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",4.6,,https://maps.google.com/?cid=11049591156213555326,情報なし,35.6947056,139.7683156,みずむら,日本、〒101-0048 東京都千代田区神田司町２丁目１０,千代田区,2
Ｏｔｔｏｔｔｏ　ＢＲＥＷＥＲＹ　淡路町店,東京都千代田区神田司町　２丁目１３アメレックスビル１階,0335180055,黒ラベル樽生,"雰囲気はよく、料理も豊富でどれも美味しかったです！
ウイスキーもデュワーズからメーカーズなどなど色々ありました！ただ氷が小さく全て上に浮いてしまっているのが残念でした…大きな氷がよいかな…","こちらで醸造しているオリジナルビールや国内のビールが楽しめます。
この日はIPAが売り切れていて残念でしたがいくつかのビールを楽しめました。","飲み放題付きコース　5,500円

知人の紹介により、初めて訪問。
水のようにクラフトビールが出てくるお店、らしい。

お店は淡路町の大通りに面した明るい立地。
店内にもたくさんの席数。
店内に喫煙所あり。

コースの名称は「オリジナルクラフトビール満喫！Ottottoクラフトビール３種追加の全５種類　特製スペアリブとケイジャンジャンバラヤなど 飲み放題2時間 全６品」。
通常、＋1,000円で追加できる3種のビールも、最初から入っているプラン。黒ラベルと、クラフトビール5種を楽しめる。

ビールを飲むので、食事は少々控えめ。
でもクラフトビールって、普通はすぐ1杯1,000円を越えたりするので、このお値段で5種楽しめるのはかなりのお得感。
満足しました。","店内は広く、大勢でワイワイやるのが楽しそうなお店。それぞれのビール毎にキャラデザインされているのが凝っている。
クラフトビールは美味しかったけど、たくさん飲みたい人にはコスパが悪いので、一軒目にサクッとか、仕上げに一杯が良さそう。グループなら腰を落ち着けるのもありかな。",浜松町の姉妹店内で作ったクラフトビールが飲めるお店です。各ビールをイメージした？カワイイ動物がロゴとして付いていて、選ぶのも飲むのも楽しかったです。スパイスの効いたケイジャンチキンや王道のフライドポテトもビールのよく合う味付けで満足出来ました。お店もキレイでゆったりとビールを楽しめます。,"Monday: 11時30分～14時30分, 17時00分～23時00分
Tuesday: 11時30分～14時30分, 17時00分～23時00分
Wednesday: 11時30分～14時30分, 17時00分～23時00分
Thursday: 11時30分～14時30分, 17時00分～23時00分
Friday: 11時30分～14時30分, 17時00分～23時30分
Saturday: 15時00分～22時30分
Sunday: 定休日","liquor_store, bar, meal_takeaway, store, restaurant, food, point_of_interest, establishment",3.8,https://ottotto-brewery.com/awajicho/,https://maps.google.com/?cid=11985101968855786175,2,35.6942486,139.7673352,Ottotto BREWERY 淡路町店,日本、〒101-0048 東京都千代田区神田司町２丁目１３ 神田第四アメレックスビル 1階,千代田区,1
松記鶏飯,東京都千代田区神田司町　２丁目１５－１　パレヤソジマ　１Ｆ,0355776883,黒ラベル樽生,"シンガポール料理を思う存分楽しめます。

ディナーのコースで予約しました。
小さなお店なので平日でも予約した方がいいです。
普段、シンガポール料理というとチキンライスくらいしか知らず食べたことがなかったのですが、パクチーサラダやキャロットケーキなど様々なシンガポール料理を食べられて大満足です。
エビがぷりぷりでとても美味しいのでおすすめ。（結構胡椒がきいていて辛めです）
ラクサもとても美味しい。
店員さんが料理について説明してくださったりとても親切でした！
シンガポール料理が食べたい時はまた訪れたいです！","シンガポール料理が食べたくて、調べてこちらへ行きました。11時30分の開店前にはすでに並んでいる方がいました。
ラクサのランチを食べましたが、クリーミーでとっても美味しかったです。ご飯もつける事が出来ました。小にしましたが、普通でも良かったです。ご飯がクリーミーなスープに合いました。","みますやという老舗の居酒屋の並びにある人気のシンガポール料理店。
まず外観がなんとも不思議な異国感があってワクワク感を演出している。店内は少し中国っぽさも感じるが、どちらにしろ日本っぽい雰囲気ではない。お客さんは若い女性が多かった。

飲み物はシンガポールのビールを注文。その他東南アジア系のビールやお酒もあった。
普段あまりシンガポール料理は食べないため、せっかくの機会なので料理も色々と注文。メニュー数はかなり多い。
ラクサやバクテー、ペーパーライスなど色々と味わったが、やはり個人的に一番美味しいと感じたのは海南鶏飯 (ハイナンジーファン) 、ゆで鶏、とりスープで炊いたジャスミンライスは絶品だった。

そこまでシンガポール料理に明るいわけではないのでどこまで本格的なのかは正直あまり分からないが、どの料理も好みは分かれそうな印象だったのできっと本格的なんだと思う。
シンガポールや東南アジア系料理が好きな人は是非試してほしい。","ランチタイム訪問。海南鶏飯 鶏大、1,350円ライス大盛無料。日本でシンガポールローカル食堂の雰囲気を味わいながらランチできます。他にない鶏肉の柔らかさであっさり美味しくいただきました。ライスはかなり少なめなので鶏肉が余ります、ライス大盛必須です。人気行列店です。おしゃべり優先でゆっくりと食べてはいけません。さっと食べて退店してください。#バクテーはマレーシア風の方が私は好みです。","シンガポール料理店、松記鶏飯。海南鶏飯を注文しました。男性は少し物足りないと思いますので、とり大1300円での注文がおすすめです。
ライスとスープはおかわり自由でした。
シンプルな料理ですが、一つ一つのクオリティが高くて、とても美味しかったです。
鶏肉はしっとりとしていて、ライスもスープも旨みが詰まっていてどれも洗練されているのを感じました。
ダークソイソースがライスに合うので、それだけでご飯が進みます。
-------------------------------------
ラクサも肉骨茶（バクテー）もとても美味しかったです。（料金は全て1,100円になっていました）

ラクサはココナッツの甘みにシーフードの旨みがあり、後からじわじわ来る辛さがクセになります。

バクテーは豚のスペアリブを煮込んだもので箸で簡単にほぐれて、骨以外綺麗に食べられました。
コショウが効いていて身体が温まる料理でした。

支払いは現金のみです。","Monday: 11時30分～14時00分, 18時00分～22時00分
Tuesday: 11時30分～14時00分, 18時00分～22時00分
Wednesday: 11時30分～14時00分, 18時00分～22時00分
Thursday: 11時30分～14時00分, 18時00分～22時00分
Friday: 11時30分～14時00分, 18時00分～22時00分
Saturday: 11時30分～14時00分, 18時00分～22時00分
Sunday: 定休日","restaurant, food, point_of_interest, establishment",4.3,https://m.facebook.com/songkeejeefan/?locale2=ja_JP,https://maps.google.com/?cid=13637111385816839095,2,35.693861,139.7668284,松記鶏飯,日本、〒101-0048 東京都千代田区神田司町２丁目１５−１,千代田区,1
雪竹,東京都千代田区神田司町　２丁目１５－１　パレヤソジマ　１Ｆ,0355776718,ヱビス樽生,"ランチで何回か行きました。
料理はとても美味しく、雰囲気もいいが女将と思われる方の接客がひどい。男性や常連と思われる客には愛想がいいが女性が嫌なのか無表情でお膳を下げる時も無言で会計時も下を向いたままで怖い。
また食べたいけどなかなかいけません。","和食が食べたくなったらココ！
この日は雪竹膳を食べました。
西京焼き美味しかった〜
焼き魚、煮魚があるので今度はそっち食べてみます。
お値段はまあまあ最近の物価高を考えると、
お店側で抑えてくれてるのかな〜と思います。
女将さんの接客も心地いいです！","美味しくいただきました。
女将さんが、ポンポンっと言うので合わない方もおられるかと思います。
神田のあの辺りは、当たり前なのでそれがだめな方は行かれない方がよろしいかと。
うどん早く食べないとくっつくわよ
刺し身は、早く食べてね。などなど
夜は基本的に常連さんがほとんどと見ました。
ご夫婦で経営されておられます。","注文から5分もしないで配膳されるのはランチ時は嬉しい
雪竹膳は刺身、魚料理、豚角煮のお膳で人気
ここは白飯も美味しい","職場の近所に、長いこと気になっていたお店があり、今回初めて利用しました。

表に出ているお魚メインのランチメニューは魅力的です。値段が出てないので、1000円コースかなと思いきや、900円で充実した内容にて大満足。

おもてなしの気持ちが伝わってくる、最強のお魚ランチを頂きました。

Looking for an authentic Japanese styled business lunch? Try out here.","Monday: 11時30分～13時30分, 17時30分～23時00分
Tuesday: 11時30分～13時30分, 17時30分～23時00分
Wednesday: 11時30分～13時30分, 17時30分～23時00分
Thursday: 11時30分～13時30分, 17時30分～23時00分
Friday: 11時30分～13時30分, 17時30分～23時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",3.9,,https://maps.google.com/?cid=7544472632528874357,2,35.6939229,139.7667854,旬菜 雪竹,日本、〒101-0048 東京都千代田区神田司町２丁目１５−１,千代田区,2
